,Model,Type,May,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM,FMA
1,BCC_CSM11m,Dynamical,0.47,1.24,1.64,1.83,1.88,1.87,1.81,1.71,1.56,1.38
2,CMC CANSIP,Dynamical,0.47,1.31,1.52,1.6,1.66,1.75,1.83,1.85,1.73,1.49
7,GFDL SPEAR,Dynamical,0.47,1.28,1.5,1.58,1.64,1.79,1.91,1.94,1.85,1.64
8,IOCAS ICM,Dynamical,0.47,1.22,1.3,1.39,1.44,1.44,1.43,1.38,1.23,0.98
11,LDEO,Dynamical,0.47,0.79,0.95,1.06,1.19,1.26,1.11,0.63,0.02,-0.38
15,SINTEX-F,Dynamical,0.47,0.95,1.08,1.09,1.07,1.1,1.12,1.09,1.02,0.95
17,BCC_RZDM,Statistical,0.47,0.81,0.77,0.82,0.88,0.88,0.79,0.62,0.49,0.37
18,CPC CA,Statistical,0.47,1.07,1.05,1.12,1.13,1.23,1.18,1.04,0.92,0.79
19,CPC MRKOV,Statistical,0.47,0.14,0.23,0.36,0.49,0.63,0.78,0.87,0.87,0.79
20,CSU CLIPR,Statistical,0.47,0.95,1.04,1.13,1.22,1.34,1.47,1.59,1.2,0.81
21,IAP-NN,Statistical,0.47,0.33,0.21,0.06,-0.08,-0.25,-0.42,-0.57,-0.65,-0.66
22,UCLA-TCD,Statistical,0.47,0.88,0.93,0.91,0.82,0.69,0.55,0.39,0.21,0.05
23,UW PSL-CSLIM,Statistical,0.47,0.91,1.02,1.11,1.19,1.24,1.23,1.12,0.94,0.73
24,UW PSL-LIM,Statistical,0.47,0.9,1.03,1.09,1.07,1.0,0.92,0.81,0.65,0.44
