,forecast,time,iso,cumulative_gdp_loss_trillions
0,BCC_CSM11m,2024,USA,-0.07421288856837076
1,BCC_CSM11m,2025,USA,-0.14740644939709252
2,BCC_CSM11m,2026,USA,-0.29999057104277055
3,BCC_CSM11m,2027,USA,-0.4599433147411942
4,BCC_CSM11m,2028,USA,-0.7008283787151078
5,BCC_CSM11m,2029,USA,-1.0062578255979318
6,CMC CANSIP,2024,USA,-0.0802887975739696
7,CMC CANSIP,2025,USA,-0.1594747748075079
8,CMC CANSIP,2026,USA,-0.3245271096846898
9,CMC CANSIP,2027,USA,-0.4975490818015562
10,CMC CANSIP,2028,USA,-0.7580813369369508
11,CMC CANSIP,2029,USA,-1.0883836046945439
12,COLA CCSM4,2024,USA,-0.07074094056517279
13,COLA CCSM4,2025,USA,-0.1405102608070805
14,COLA CCSM4,2026,USA,-0.28596805485981247
15,COLA CCSM4,2027,USA,-0.43845088002742527
16,COLA CCSM4,2028,USA,-0.6681039280638498
17,COLA CCSM4,2029,USA,-0.9593113075938002
18,GFDL SPEAR,2024,USA,-0.0841947390775697
19,GFDL SPEAR,2025,USA,-0.16723298089350602
20,GFDL SPEAR,2026,USA,-0.34029867357883015
21,GFDL SPEAR,2027,USA,-0.5217201896841414
22,GFDL SPEAR,2028,USA,-0.7948768443035534
23,GFDL SPEAR,2029,USA,-1.1411581697691
24,IOCAS ICM,2024,USA,-0.05989110305517678
25,IOCAS ICM,2025,USA,-0.11895965908264691
26,IOCAS ICM,2026,USA,-0.2421400182152496
27,IOCAS ICM,2027,USA,-0.3712709661711074
28,IOCAS ICM,2028,USA,-0.5658002868623673
29,IOCAS ICM,2029,USA,-0.8125213686343262
30,LDEO,2024,USA,-0.027341590525188718
31,LDEO,2025,USA,-0.05430774135807635
32,LDEO,2026,USA,-0.11057569443449394
33,LDEO,2027,USA,-0.1695748015797399
34,LDEO,2028,USA,-0.2585175283831616
35,LDEO,2029,USA,-0.3713943329133602
36,NASA GMAO,2024,USA,-0.049909252545980255
37,NASA GMAO,2025,USA,-0.0991330889286226
38,NASA GMAO,2026,USA,-0.2018035474242133
39,NASA GMAO,2027,USA,-0.3094395511319093
40,NASA GMAO,2028,USA,-0.4716233454859393
41,NASA GMAO,2029,USA,-0.677360340215702
42,NCEP CFSv2,2024,USA,-0.08159077807517123
43,NCEP CFSv2,2025,USA,-0.16206084377296445
44,NCEP CFSv2,2026,USA,-0.32978446505837056
45,NCEP CFSv2,2027,USA,-0.5056064680239355
46,NCEP CFSv2,2028,USA,-0.7703473725806361
47,NCEP CFSv2,2029,USA,-1.1059769155758372
48,SINTEX-F,2024,USA,-0.047305291543581776
49,SINTEX-F,2025,USA,-0.09396093758160162
50,SINTEX-F,2026,USA,-0.19127914904364302
51,SINTEX-F,2027,USA,-0.29330600793337525
52,SINTEX-F,2028,USA,-0.4470468412707285
53,SINTEX-F,2029,USA,-0.6420833939110855
54,BCC_RZDM,2024,USA,-0.02690759702478897
55,BCC_RZDM,2025,USA,-0.05344571464789606
56,BCC_RZDM,2026,USA,-0.10882094936253216
57,BCC_RZDM,2027,USA,-0.16688419294005552
58,BCC_RZDM,2028,USA,-0.2544169141212367
59,BCC_RZDM,2029,USA,-0.36550521832784205
60,CPC CA,2024,USA,-0.045135324041583054
61,CPC CA,2025,USA,-0.08965081063370539
62,CPC CA,2026,USA,-0.18250843986880924
63,CPC CA,2027,USA,-0.2798604525161462
64,CPC CA,2028,USA,-0.4265639049246094
65,CPC CA,2029,USA,-0.6126805951201224
66,CPC MRKOV,2024,USA,-0.03775743453478499
67,CPC MRKOV,2025,USA,-0.07499637339830892
68,CPC MRKOV,2026,USA,-0.15268546420495582
69,CPC MRKOV,2027,USA,-0.23413919900652408
70,CPC MRKOV,2028,USA,-0.3569048096137975
71,CPC MRKOV,2029,USA,-0.5126747349169384
72,CSU CLIPR,2024,USA,-0.06900496656357383
73,CSU CLIPR,2025,USA,-0.13706216579174257
74,CSU CLIPR,2026,USA,-0.27895635031442767
75,CSU CLIPR,2027,USA,-0.4277037285617468
76,CSU CLIPR,2028,USA,-0.6517393912280256
77,CSU CLIPR,2029,USA,-0.9358332744431277
78,IAP-NN,2024,USA,0.02473762952279509
79,IAP-NN,2025,USA,0.04914166227935923
80,IAP-NN,2026,USA,0.1000981405567681
81,IAP-NN,2027,USA,0.1535478210435529
82,IAP-NN,2028,USA,0.2342167557445724
83,IAP-NN,2029,USA,0.33669637035971245
84,UCLA-TCD,2024,USA,-0.01692574651559002
85,UCLA-TCD,2025,USA,-0.0336190920299692
86,UCLA-TCD,2026,USA,-0.06845803079394974
87,UCLA-TCD,2027,USA,-0.1049908018238422
88,UCLA-TCD,2028,USA,-0.16007751737173373
89,UCLA-TCD,2029,USA,-0.23000188174441727
90,UW PSL-CSLIM,2024,USA,-0.048607272044781005
91,UW PSL-CSLIM,2025,USA,-0.09654701339017442
92,UW PSL-CSLIM,2026,USA,-0.19654140995904815
93,UW PSL-CSLIM,2027,USA,-0.30137293271218635
94,UW PSL-CSLIM,2028,USA,-0.4593355051023365
95,UW PSL-CSLIM,2029,USA,-0.659722741403574
96,UW PSL-LIM,2024,USA,-0.03515347353238411
97,UW PSL-LIM,2025,USA,-0.06982421700898667
98,UW PSL-LIM,2026,USA,-0.14215876199869243
99,UW PSL-LIM,2027,USA,-0.21799993749278626
100,UW PSL-LIM,2028,USA,-0.3323129319433959
101,UW PSL-LIM,2029,USA,-0.4773651354454457
