,name,iso,damages_event_1983,damages_event_1998,damages_globalwarming_ssp126,damages_globalwarming_ssp585
0,Algeria,AFG,,,-0.2721774243221838,-0.7243614847885351
1,Azerbaijan,AGO,-7.322258833105296,-6.046902641177123,-0.8202614096732441,-1.4796662070109545
2,Albania,ALB,,,,
3,Armenia,ARE,-5.610141780306132,-5.2930917129379615,-0.29366924398053995,-0.5080251826983398
4,Angola,ARG,0.6232223080673422,2.604770688239341,-0.2792030167774733,-1.0486725394594696
5,Argentina,ARM,,,,
6,Australia,AUS,0.21874176767251302,1.0809249874874232,-0.5524177971223785,-0.896083454788491
7,Bahrain,AUT,-2.536088664537419,-2.600216594709291,-0.1613209998876485,-0.309219671295008
8,Bangladesh,AZE,,,-0.1367995362806189,-0.5549068198082223
9,Bosnia and Herzegovina,BDI,-6.4802438241079345,-5.369218136409126,-0.8233623583838444,-1.2240284537956074
10,Bolivia,BEL,-2.621942879565588,-2.687723076890294,,
11,Burma,BEN,-9.726590545454568,-7.893400860153814,-0.8111166986503254,-1.0200775010845087
12,Benin,BFA,-5.935825626229171,-4.639111567682744,-0.6534635850252744,-0.8631618264556862
13,Brazil,BGD,-2.001310574912382,-0.8216108140028388,-0.37795405127809456,-0.3372767675936378
14,Bulgaria,BGR,,,-0.105800331339794,-0.0032822152162351272
15,Brunei Darussalam,BHR,,,,
16,Canada,BIH,,,-0.25554925463151146,-0.13386539592783755
17,Cambodia,BLR,,,0.07061339340482706,-0.12961124890543277
18,Sri Lanka,BOL,-7.675962405920336,-5.968979740934937,-0.7798756075422987,-1.3482467150087614
19,Congo,BRA,-6.22418083719027,-5.577237210787595,-0.8506152593130635,-1.2352834139610929
20,Democratic Republic of the Congo,BRN,-8.341573671896088,-5.561384771301344,,
21,Burundi,BTN,0.10316615247269807,0.6335935601804774,-0.6692519947583161,-0.5003599210211981
22,China,BWA,-5.7433160923564115,-4.88195338865295,-0.71929444361041,-1.0450551240967338
23,Afghanistan,CAF,-9.035970827563105,-7.915625311050766,-0.48260614493616755,-0.9754852935082393
24,Bhutan,CAN,0.27118371331876134,1.2598144779576699,-0.5014710095759163,-0.21518170160284664
25,Chile,CHE,,,,
26,Cameroon,CHL,-4.826737884005822,-3.901716558846021,-0.17384023438337773,-0.4727522953949753
27,Chad,CHN,-2.032018599636026,-1.67981929526549,-0.30323532458600627,-0.49052201914369864
28,Colombia,CIV,-11.10379682834848,-10.197883000113277,-0.7796833078111398,-1.235546675581256
29,Costa Rica,CMR,-9.36007584727943,-7.976448394843213,-0.5576129215606559,-1.6128772680660106
30,Central African Republic,COD,-6.4692156606343145,-5.478968650631745,-0.6699001232714628,-1.3842102657099358
31,Cuba,COG,-7.769396399616146,-6.3760460562266035,-0.7072387089508697,-1.21757202346613
32,Cyprus,COL,-8.172546663382782,-6.516138748098032,-0.8236657412495373,-0.9343440980078082
33,Denmark,CRI,-10.41592181152847,-8.359302946420474,,
34,Djibouti,CUB,,,-0.4963179185483483,-0.54917057989001
35,Dominican Republic,CYP,0.054817064674181806,0.46877344504083623,,
36,Ecuador,CZE,,,-0.05078590994406575,-0.32214577107980363
37,Egypt,DEU,,,-0.150325051447346,-0.3915738357886079
38,Ireland,DJI,-2.9710198697063035,-1.7018934718703462,,
39,Equatorial Guinea,DNK,,,-0.03064743544187234,-0.2989661233858824
40,Estonia,DOM,-3.417978239069527,-1.2914274290664012,,
41,Eritrea,DZA,,,-0.24513284399744037,-0.3009506485921975
42,El Salvador,ECU,-21.120651365015235,-19.251410180958974,-1.2709287637025262,-1.6575428078489862
43,Ethiopia,EGY,,,-0.09071796915870718,0.049394551357620144
44,Austria,ERI,,,-0.87858363609607,-1.3026277591115203
45,Czech Republic,ESP,0.2242080121314026,1.0726676422955268,-0.2763190213656825,-0.5052796177270594
46,Finland,EST,,,-0.07717019391139962,-0.19788982944863345
47,France,ETH,-9.04198305442223,-7.171156590150715,-0.8591798096872105,-1.348890992294331
48,Gambia,FIN,,,-0.07468759370843571,-0.05268015849682326
49,Gabon,FRA,,,-0.21436853397639127,-0.22895102925260538
50,Georgia,GAB,-8.634569160232147,-7.201716776693776,-0.8671526047175482,-1.5225508683448121
51,Ghana,GBR,,,0.01494094858379046,-0.20481062162898978
52,Germany,GEO,,,0.043711763677379646,-0.22644728522538102
53,Greece,GHA,-10.54381821841338,-9.570507579492723,-0.7231460481052989,-1.135130780089126
54,Guatemala,GIN,-6.728823781379701,-5.4018056809459445,-0.7409800987298732,-0.8394708511058213
55,Guinea,GMB,,,,
56,Guyana,GNQ,-9.245161754617447,-6.634557625450284,,
57,Haiti,GRC,,,-0.092407215079456,0.0940490230204028
58,Honduras,GTM,-7.861074581868323,-5.6482979796696835,-0.5202770296924074,-0.05172914316561071
59,Croatia,GUY,-7.203770736397553,-4.866996719413026,-0.8608447938565501,-1.3819635997617803
60,Hungary,HKG,,,,
61,Iceland,HND,-8.824253964652328,-7.155412695837265,-0.9407844759252069,-0.727883950354302
62,India,HRV,,,-0.10921110915740369,-0.0606930816429218
63,Iran (Islamic Republic of),HTI,-2.2916936873885043,-0.12089084889548288,,
64,Israel,HUN,,,0.004304144710394838,0.07525329271312955
65,Italy,IDN,-12.739303483430252,-11.32717569557553,-1.2488546214197802,-2.3481943504139515
66,Cote d'Ivoire,IND,-3.287054755270701,-1.5476918812069695,-0.703028359659908,-0.9040656152577344
67,Iraq,IRL,,,0.003265120541511247,-0.2832997419589279
68,Japan,IRN,0.26773471669980875,1.2240632946450383,-0.36473643586440396,-0.21738578673011977
69,Jordan,IRQ,0.17173105211653142,0.9067015845690964,-0.2791668488003175,-0.32076143819235053
70,Kenya,ISL,,,0.04343553351496845,0.12719804355549408
71,Kyrgyzstan,ISR,0.10467638653138218,0.6526517243354998,,
72,"Korea, Republic of",ITA,0.11783330772394843,0.703078701977762,-0.15194946974976062,-0.03228244838850625
73,Kuwait,JOR,0.16018683926060212,0.7810671970067415,-0.27361739029660875,-0.323180516777232
74,Kazakhstan,JPN,-2.701481809299628,-2.136340882653044,-0.3024169835929199,-1.0837910713235592
75,Lao People's Democratic Republic,KAZ,,,-0.3354029493294216,-0.3689001014285361
76,Lebanon,KEN,-9.311551831256892,-8.125868038983226,-0.7207114712142308,-0.19920732325207724
77,Latvia,KGZ,,,-0.4081828888641335,-0.6503719340687342
78,Belarus,KHM,-6.904475553267821,-4.848994946142976,-1.1023771053806988,-2.064012844539587
79,Lithuania,KOR,-4.262247131590657,-4.096586874052448,-0.3590523211748931,-0.6607031302395576
80,Liberia,KWT,,,,
81,Slovakia,LAO,-3.4100498349257045,-1.9320736154663145,-0.6126466509856598,-1.0099669693788567
82,Libyan Arab Jamahiriya,LBN,-0.04959409491857459,0.5528942126573231,,
83,Madagascar,LBR,-9.202642067478362,-8.218745965145343,-0.8248314412823534,-1.3273660182259566
84,Mongolia,LBY,,,-0.3025485900127915,-0.5176905191379181
85,The former Yugoslav Republic of Macedonia,LKA,-6.65901260222818,-4.879121949574352,,
86,Mali,LSO,-2.587287001347252,-1.6474025262418721,-0.5894780443626579,-0.7067164219528723
87,Morocco,LTU,,,-0.13544692461245894,-0.34454779698743837
88,Mauritania,LUX,-2.59654515268874,-2.653106022627163,-0.17459872464635776,-0.3747254733421035
89,Oman,LVA,,,-0.004062731768806324,-0.1377342157026445
90,Mexico,MAC,,,,
91,Malaysia,MAR,-3.4209120083070204,-3.0387972508732717,-0.1698659399348262,-0.5884165211031505
92,Mozambique,MDA,,,-0.014134741586142717,0.10313737852259512
93,Malawi,MDG,-4.537329665993504,-3.5001611254823346,-0.9553362869442467,-1.0963991704157359
94,Niger,MEX,-2.9839123733693214,-1.3922412271049143,-0.353342279310521,-0.3656659188430833
95,Belgium,MKD,,,-0.15097723018562376,-0.03093179152650286
96,Hong Kong,MLI,-5.242467321267286,-3.8062857619007624,-0.6137541173501989,-0.7607939458625168
97,Luxembourg,MMR,-2.4776625147288525,-1.0180759595835154,-0.5747664818919586,-0.3949028332398176
98,Macau,MNE,,,,
99,Palestine,MNG,,,-0.1526677028658317,-0.13694633935753422
100,Montenegro,MOZ,-7.753201027956281,-6.299306160580368,-0.6466954702521728,-1.15357354125392
101,Nigeria,MRT,0.1850853382888315,0.9560811124103196,-0.45346406107014514,-0.6757969620649026
102,Netherlands,MWI,-8.18756187369627,-7.085858722910305,-1.0766590015633675,-1.3169830196800343
103,Norway,MYS,-12.167088243421917,-10.200685847671068,-1.3128542338696114,-2.324307865275901
104,Nepal,NAM,-4.45998507220493,-3.359302705836593,-0.9213130241156083,-1.2772998779717193
105,Suriname,NER,-3.7161081091876196,-2.1917580370736713,-0.5846417641422604,-0.6685133186529948
106,Nicaragua,NGA,-6.22963946417749,-5.289661270748931,-0.5622715246623676,-1.0434499983896641
107,New Zealand,NIC,-11.943206319276275,-9.16076587345187,-1.027284563800766,-1.144711875232233
108,Paraguay,NLD,-2.408789502444078,-2.4608725764105808,-0.15213922174350467,-0.29476033712314104
109,Peru,NOR,,,0.07253123831164036,-0.15374210223111776
110,Pakistan,NPL,0.18256905266963744,0.9310881121291641,-0.4937714808272331,-0.31055459085743625
111,Poland,NZL,0.10126382133913683,0.6203278543932217,-0.20736316179459843,-0.3967823084500868
112,Panama,OMN,,,-0.06082406515441135,-0.12982344669841067
113,Portugal,PAK,-2.578919175532782,-2.0606944894913504,-0.535908779459283,-0.5248368583761851
114,Papua New Guinea,PAN,-11.822917260711838,-9.584611810918785,,
115,Qatar,PER,-17.561656062059964,-15.884516770919406,-1.069468603054145,-1.7012407185653748
116,Romania,PHL,-7.472027079302486,-4.446187710701835,-1.0596114095479139,-1.8006083192835345
117,Republic of Moldova,PNG,,,-0.949701455350958,-1.3026625127767286
118,Philippines,POL,,,-0.10348599133365903,-0.32674321845038407
119,Puerto Rico,PRI,,,,
120,Russia,PRT,0.08530693248794476,0.559893969992321,-0.12328242911848412,-0.41242681631746164
121,Rwanda,PRY,-3.069497951616744,-2.2630590445897623,-0.5006767566053474,-0.6140542379547724
122,Saudi Arabia,PSE,,,,
123,South Africa,QAT,-2.3329350337327615,-1.7258320398923985,,
124,Lesotho,ROU,,,-0.00518189023059399,0.10735282115865308
125,Botswana,RUS,,,-0.012949026737043436,-0.13246173527715344
126,Senegal,RWA,-3.0426740541562136,-1.2559063739507268,-0.5762069827132436,-0.6528135132058345
127,Slovenia,SAU,-6.5015613133501775,-5.697577423162628,-0.6742888132715622,-1.018870682764241
128,Sierra Leone,SDN,-3.1551980549141163,-2.3314205342656695,-0.316203317538595,-0.2695272641782103
129,Singapore,SEN,0.16313892569297617,0.8300527861304144,-0.6415682813596036,-0.587294396609144
130,Somalia,SGP,,,,
131,Spain,SLE,-6.565489925517066,-5.397993723552951,,
132,Sudan,SLV,-8.86438916855739,-7.0009750662024235,,
133,Sweden,SOM,,,-0.7016951105101513,-0.5139357879148627
134,Syrian Arab Republic,SRB,,,-0.09327588079458414,0.006101106053050054
135,Switzerland,SUR,-11.657617275455905,-9.701011122117052,-0.9756612234881153,-1.459747370841858
136,Thailand,SVK,,,-0.09074318000339174,-0.05802221313821275
137,Tajikistan,SVN,,,-0.13682857921531588,-0.02253786016717988
138,Togo,SWE,,,0.0380524361803002,-0.24428966503227229
139,Tunisia,SWZ,0.3810555344747383,1.6567550460577918,-0.48786395040501473,-0.5116944186513065
140,Turkey,SYR,,,-0.16741893525552318,-0.21099726944153255
141,Turkmenistan,TCD,0.44298387955547014,1.9035818175706398,-0.4542251204761039,-0.5514462797284316
142,United Republic of Tanzania,TGO,-11.363555085600671,-10.289390063528476,,
143,Uganda,THA,-9.537086735844095,-7.883118948187185,-1.0571524865424236,-1.5996102973633455
144,United Kingdom,TJK,,,-0.3975903780044678,-0.7994259553825503
145,Ukraine,TKM,,,-0.10321397663003265,-0.06497170263663113
146,United States,TUN,0.056862736307095145,0.5252708841051827,-0.17542582826672218,-0.3679016784564442
147,Burkina Faso,TUR,,,-0.10257927799341987,-0.3031290331177191
148,Uruguay,TZA,-10.358934901535992,-8.253537088945494,-1.1697968463681558,-1.3936374274276333
149,Uzbekistan,UGA,-10.006567600386509,-8.204094106008933,-0.8519619184351224,-1.2680530339609968
150,Venezuela,UKR,,,0.05766103885229752,0.13071770085513168
151,Viet Nam,URY,0.3518358098194891,1.6425819370123333,-0.23092871144677649,-0.44951358476533826
152,Namibia,USA,-3.3062506088345596,-3.025738717742373,-0.43400040034090254,-0.6469788495667694
153,Swaziland,UZB,,,-0.3125705651081898,-0.3993582122353268
154,Yemen,VEN,-5.99105659329661,-3.442526406631505,-0.7533620219621875,-0.934452016569732
155,Zambia,VNM,-3.7828927524882814,-2.0248507898921124,-0.7834577749950808,-1.455300247070423
156,Zimbabwe,YEM,,,-0.9096834519851691,-1.220251362086793
157,Indonesia,ZAF,-3.3059302784070805,-2.282605295140458,-0.5790773472251205,-0.8682085455015178
158,United Arab Emirates,ZMB,-11.261070584890437,-9.912245147458162,-1.0783189318857846,-1.8188080474223285
159,Serbia,ZWE,-6.587593133528343,-5.637426521530404,-0.6162235711979044,-1.0093596167245509
